name,year,general,location,terrain,attacker_troops,defender_troops,attacker_tactics,defender_tactics,outcome,key_lesson,general_insight
Elbistan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"On April 15, 1277, the Mamluk Sultan Baybars marched from Syria into the Mongol-dominated Seljuk Sultanate of Rûm and attacked the Mongol occupation force in the Battle of Elbistan (Abulustayn). Upon "
American Civil War Museum,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The American Civil War Museum is a multi-site museum in the Greater Richmond Region of central Virginia, dedicated to the history of the American Civil War. The museum operates three sites: The White "
Jerusalem (1099),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Jerusalem marked the successful end of the First Crusade, whose objective was the recovery of the city of Jerusalem and the Church of the Holy Sepulchre from Islamic control. The five-wee"
Mohács,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mohács (Hungarian: [ˈmohaːt͡ʃ]; Hungarian: mohácsi csata, Turkish: Mohaç Muharebesi) took place on 29 August 1526 near Mohács, in the Kingdom of Hungary. It was fought between the forces"
Great Cane Brake,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Great Cane Brake was a skirmish fought on December 22, 1775, during the American Revolutionary War in what was then Ninety-Six District, South Carolina, modern Greenville County.

"
York (867),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of York was fought between the Vikings of the Great Heathen Army and the Anglo-Saxon Kingdom of Northumbria on 21 March 867 in the city of York.
Formerly controlled by the Roman Empire, Yor"
Brissarthe,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Brissarthe was fought on 2 July 866, between the West Franks and a joint Breton-Viking army near Brissarthe, Neustria. It was marked by the death of Robert the Strong, the Neustrian marg"
List of Ottoman battles in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of battles in World War I in which the Ottoman Empire fought. The Ottoman Empire fought on many fronts including the Eastern, Romanian and Macedonian fronts. Only battles in which the O"
Battle axe,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A battle axe (also battle-axe, battle ax, or battle-ax) is an axe specifically designed for combat. Battle axes were designed differently to utility axes, with blades more akin to cleavers than to woo"
Cape Esperance,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cape Esperance, also known as the Second Battle of Savo Island and in Japanese sources as the Sea Battle of Savo Island (サボ島沖海戦), took place on 11–12 October 1942, in the Pacific campaig"
the Little Bighorn,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Little Bighorn, known to the Lakota and other Plains Indians as the Battle of the Greasy Grass, and commonly referred to as Custer's Last Stand, was an armed engagement between combi"
Greco-Persian Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Greco-Persian Wars (also often called the Persian Wars) were a series of conflicts between the Achaemenid Empire and Greek city-states that started in 499 BC and lasted until 449 BC. The collision
Beijing,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Battle of Beijing may refer to multiple battles fought in what is now Beijing:

Battle of Gaoliang River (979), between the Liao and Song dynasties
Battle of Zhongdu (1215), between the Mongols and th"
Seven Pines,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Seven Pines, also known as the Battle of Fair Oaks or Fair Oaks Station, took place on May 31 and June 1, 1862, in Henrico County, Virginia as part of the Peninsula Campaign of the Ameri"
American Civil War reenactment,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,American Civil War reenactment is an effort to recreate the appearance of a particular battle or other event associated with the American Civil War by hobbyists known (in the United States) as Civil W
Campaigns of the Philippine–American War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Fighting erupted between forces of the United States and those of the Philippine Republic on February 4, 1899, in what became known as the 1899 Battle of Manila.
On the evening of February 4, 1899, Pr"
Osan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Osan (Korean: 오산 전투) was the first engagement between the United States and North Korea during the Korean War. On July 5, 1950, Task Force Smith, an American task force of 540 infantry s"
Italian bombing of Mandatory Palestine in World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Italian bombing of Mandatory Palestine in World War II was part of an effort by the Royal Italian Air Force (Regia Aeronautica) to strike at the United Kingdom by attacking those parts of the Brit
Baton Rouge (1862),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Baton Rouge was a ground and naval battle in the American Civil War fought in East Baton Rouge Parish, Louisiana, on August 5, 1862. The Union victory halted Confederate attempts to reca"
Vicksburg,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Vicksburg (May 18 – July 4, 1863) was the final major military action in the Vicksburg campaign of the American Civil War. In a series of maneuvers, Union Major General Ulysses S. Grant a"
List of World War II battles involving the United States,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This is a list of all battles involving the United States during World War II.
Inab,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Inab, also called Battle of Ard al-Hâtim or Fons Muratus, was fought on 29 June 1149, during the Second Crusade. The Zengid army of the atabeg Nur al-Din Zengi destroyed the combined arm"
Cossacks II: Napoleonic Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Cossacks II: Napoleonic Wars  is a real-time strategy game and the second installment in the Cossacks series, released in 2005. This game focuses exclusively on the Napoleonic era, meaning it has a mu"
Imphal,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Imphal (Meitei: Japan Laan, lit. 'Japanese invasion') took place in the region around the city of Imphal, the capital of the state of Manipur in Northeast India from March until July 194"
Pingxingguan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Pingxingguan (simplified Chinese: 平型关战役; traditional Chinese: 平型關戰役) was the initial significant confrontation in northwestern Shanxi after the commencement of the full-scale Second Sino
Allies of World War II,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Allies, formally referred to as the United Nations from 1942, were an international military coalition formed during World War II (1939–1945) to oppose the Axis powers. Its principal members were "
Timeline of events leading to the American Civil War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,This timeline of events leading to the American Civil War is a chronologically ordered list of events and issues that historians recognize as origins and causes of the American Civil War. These events
Melstica,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of the Melstica was fought between the army of the Kingdom of Hungary and the Ottoman Empire in 1443.
Philippines campaign (1944–1945),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Philippines campaign, Battle of the Philippines, Second Philippines campaign, or the Liberation of the Philippines, codenamed Operation Musketeer I, II, and III, was the American, Filipino, Austra"
Shanghai,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Shanghai (traditional Chinese: 淞滬會戰; simplified Chinese: 淞沪会战; pinyin: Sōng hù huìzhàn) was a major battle fought between the Empire of Japan and the Republic of China in the Chinese cit
Marathon,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Marathon took place in 490 BC during the first Persian invasion of Greece. It was fought between the citizens of Athens, aided by Plataea, and a Persian force commanded by Datis and Arta"
Tricamarum,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tricamarum took place on December 15, 533 between the armies of the Byzantine Empire, under Belisarius, and the Vandal Kingdom, commanded by King Gelimer, and his brother Tzazo. It follo"
the Teutoburg Forest,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Teutoburg Forest, also called the Varus Disaster or Varian Disaster (Latin: Clades Variana) by Roman historians, was a major battle fought between an alliance of Germanic peoples and"
Cuito Cuanavale,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Cuito Cuanavale was fought intermittently between 14 August 1987 and 23 March 1988, south and east of Cuito Cuanavale, Angola, by the People's Armed Forces for the Liberation of Angola ("
Ongal,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ongal took place in the summer of 680 in the Ongal area, an unspecified location in and around the Danube Delta near the Peuce Island, present-day Tulcea County, Romania. It was fought b"
Opposition to United States involvement in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Opposition to United States involvement in the Vietnam War reached a substantial scale in 1965 with demonstrations against the escalating role of the United States in the war. Over the next several ye
Polish–Ottoman War (1683–1699),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Polish–Ottoman War or the War of the Holy League was the Polish side of the conflict otherwise known as the Great Turkish War. The conflict began with a Polish victory at the Battle of Vienna in 1
Buxar,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Buxar was fought between 22 and 23 October 1764, between the forces of the British East India Company, under the command of Major Hector Munro, against the combined armies of Balwant Sin"
the Aegates,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Aegates was a naval battle fought on 10 March 241 BC between the fleets of Carthage and Rome during the First Punic War. It took place among the Aegates Islands, off the western coas"
Fariskur (1250),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Fariskur was the last major battle of the Seventh Crusade. The battle was fought on 6 April 1250, between the Crusaders led by King Louis IX of France (later Saint Louis) and Egyptian fo"
List of battles involving the Ottoman Empire,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"House

List of the main battles in the history of the Ottoman Empire are shown below. The life span of the empire was more than six centuries, and the maximum territorial extent, at the zenith of its "
Out Campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Out Campaign is a public awareness initiative for freethought and atheism in the US. It was initiated by Robin Elisabeth Cornwell, and is endorsed by Richard Dawkins, a prominent atheist. The camp"
the Volturnus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Volturnus, also known as the Battle of Casilinum or Battle of Capua, was fought in 554 between an army of the Eastern Roman Empire and a combined force of Franks and Alemanni. The By"
Mu'tah,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mu'tah (Arabic: مَعْرَكَة مُؤْتَة, romanized: Maʿrakat Muʿtah, or Arabic: غَزْوَة مُؤْتَة Ghazwat Muʿtah) took place in September 629 (1 Jumada al-Awwal 8 AH), between the forces of Muha"
Khunan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Khunan was fought in September 1222 between the Kingdom of Georgia, led by King George IV, and the Mongol army led by Subutai and Jebe. The result was a Mongol victory. For further detai"
"Naval campaigns, operations and battles of the French Revolutionary Wars",Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Historic battle
al-Babein,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of al-Babein took place on March 18, 1167, during the third Crusader invasion of Egypt. King Amalric I of Jerusalem, and a Zengid army under Shirkuh, both hoped to take the control of Egypt"
Cunaxa,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Cunaxa was fought in the late summer of 401 BC between the Persian king Artaxerxes II and his brother Cyrus the Younger for control of the Achaemenid throne. The great battle of the revo
Taginae,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"At the Battle of Taginae (also known as the Battle of Busta Gallorum) in June/July 552, the forces of the Byzantine Empire under Narses broke the power of the Ostrogoths in Italy, and paved the way fo"
Gorizia (1916),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Sixth Battle of the Isonzo, better known as the Battle of Gorizia, was the most successful Italian offensive along the Soča (Isonzo) River during World War I."
Aqaba,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Aqaba was fought for the Red Sea port of Aqaba (now in Jordan) during the Arab Revolt of World War I. The attacking forces, led by Sherif Nasir and Auda abu Tayi and advised by T. E. Law"
Campaign hat,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A campaign hat, sometimes called campaign cover, is a broad-brimmed felt or straw hat, with a high crown, pinched symmetrically at the four corners. The campaign hat is occasionally referred to as a S"
Medieval II: Total War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Medieval II: Total War is a strategy video game developed by the since-disbanded Australian branch of The Creative Assembly and published by Sega. It was released for Microsoft Windows on 10 November 
Confey,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Confey or Cenn Fuait was fought in Ireland in 917 between the Vikings of Dublin and the Irish King of Leinster, Augaire mac Ailella. It led to the recapture of Dublin by the Norse dynast"
Eylau,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Eylau (also known as the Battle of Preussisch-Eylau) was a bloody and strategically inconclusive battle on 7 and 8 February [O.S. 26 and 27 Jan.] 1807 between Napoleon's Grande Armée and
Gazala,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Gazala, also the Gazala Offensive (Italian: Battaglia di Ain el-Gazala) was fought near the village of Gazala during the Western Desert Campaign of the Second World War, west of the port"
First Seoul,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The First Battle of Seoul (Korean: 제1차 서울 전투), known in North Korean historiography as the Liberation of Seoul (서울 해방), was the North Korean capture of the South Korean capital, Seoul, during June 195"
Chesapeake campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Chesapeake campaign, also known as the Chesapeake Bay campaign, of the War of 1812 was a British naval campaign that took place from 23 April 1813 to 14 September 1814 on and around the Delaware a"
Ushant (1778),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ushant (also called the First Battle of Ushant) took place on 27 July 1778, and was fought during the American Revolutionary War between French and British fleets 100 miles (160 km) west"
Mohi,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mohi (11 April 1241) was a pivotal conflict between the Mongol Empire and the Kingdom of Hungary during the Mongol invasion of Europe. The battle took place at Muhi (then Mohi), a town l"
Napoleon's Art of War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Napoleon's Art of War is a collection of two board wargames published in 1979 by Simulations Publications Inc. (SPI) that simulate Napoleonic battles.
"Naval campaigns, operations and battles of the Napoleonic Wars",Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The naval campaigns, operations and battles of the Napoleonic Wars were events during the period of World-wide warfare between 1802 and 1814 that were undertaken by European powers in support of their"
Hanging Rock,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Hanging Rock (August 6, 1780) took place during the American Revolutionary War between the American Patriots and the British. It was part of a campaign by militia General Thomas Sumter t"
Mandalgarh and Banas,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The  Battles of Mandalgarh and Banas were a series of battles fought between Maharana Kumbha of Mewar and Sultan Mahmud Khalji of Malwa. This offensive by the Malwa Sultan was aimed to punish the Maha
Ushant (1782),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Ushant or the action of 20–21 April 1782 was a naval battle fought during the American Revolutionary War, between a French naval fleet of three ships of the line protecting a convoy and "
Great Turkish War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Great Turkish War (German: Großer Türkenkrieg) or The Last Crusade, also called in Ottoman sources The Disaster Years (Turkish: Felaket Seneleri) and Small Apocalypse (Turkish: Küçük Kıyamet), was"
Guningtou,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Guningtou (古寧頭之役), also known as the Battle of Kuningtou or the Battle of Kinmen (Chinese: 金門戰役), was fought in October 1949 on the island of Kinmen (Quemoy), located in the Taiwan Strai"
Athos,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Athos (also known as the Battle of Monte Sancto or the Battle of Lemnos) took place on 1–2 July 1807New Style as a part of the Napoleonic Wars during the Russo-Turkish War of 1806–1812. 
Quramati,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Quramati took place on the east of the Euphrates River between the Egyptian army and the Babylonian army. The battle ended with the defeat of the Babylonians.
Burki,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Burki (also known as the Battle of Lahore) was a battle between the Indian and Pakistan Army during the Indo-Pakistani War of 1965 at Burki, a village that lies 11 km south-east of Lahor"
Carchemish,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Carchemish was a battle fought around 605 BCE between the armies of Egypt, allied with the remnants of the Neo-Assyrian Empire, against the armies of Babylonia. The forces would clash at"
Martinique (1780),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Martinique, also known as the Battle of Dominica, took place on 17 April 1780 during the American Revolutionary War in the West Indies between the Royal Navy and the French Navy."
List of American Revolutionary War battles,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"This is a list of military actions in the American Revolutionary War. Actions marked with an asterisk involved no casualties.
Major campaigns, theaters, and expeditions of the war

Boston campaign (17"
Medieval: Total War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Medieval: Total War is a turn-based strategy and real-time tactics computer game developed by Creative Assembly and published by Activision. Set in the Middle Ages, it is the second game in the Total "
Bougainville campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Bougainville campaign was a series of land and naval battles of the Pacific campaign of World War II between Allied forces and the Empire of Japan, named after the island of Bougainville, one of t"
Dollar,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Dollar was fought in 875 at Dollar, Scotland, between Viking invaders under Halfdan Ragnarsson and the defenders led by King Constantine I. The Vikings had previously been part of the Gr"
annihilation,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"Annihilation is a military strategy in which an attacking army seeks to entirely destroy the military capacity of the opposing army.  This strategy can be executed in a single planned pivotal battle, "
Sanfengshan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Sanfengshan, literally the Battle of the Three-Peak Mountain, was a major decisive battle fought between the Mongol Empire and Jin China during the first stage of the Mongol conquest of "
Battles of Khalkhin Gol,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battles of Khalkhin Gol (Russian: Бои на Халхин-Голе; Mongolian: Халхын голын байлдаан) were the decisive engagements of the undeclared Soviet–Japanese border conflicts involving the Soviet Union,"
the Utus,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the Utus was fought in 447 between the army of the Eastern Roman Empire, and the Huns led by Attila at Utus, a river that is today the Vit in Bulgaria. It was the last of the bloody pitc"
French Revolutionary Wars,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The French Revolutionary Wars (French: Guerres de la Révolution française) were a series of sweeping military conflicts resulting from the French Revolution that lasted from 1792 until 1802. They pitt
Mantinea (362 BC),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Mantinea was fought on 4 July 362 BC between the Thebans, led by Epaminondas and supported by the Arcadians, Argives, Messenians, Thessalians, Euboeans and the Boeotian league against th"
List of American Civil War battles in Northern Virginia,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"With less than 150 miles separating the two capital cities of Washington, D.C., and Richmond, Virginia, Northern Virginia found itself in the center of much of the conflict of the American Civil War. "
Thannuris,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Thannuris (Tannuris) (or Battle of Mindouos) was fought between the forces of the Eastern Roman Empire under Belisarius and the Persian Sasanian Empire under Xerxes in summer 528, near D"
Stamford Bridge,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Stamford Bridge (Old English: Gefeoht æt Stanfordbrycge) took place at the village of Stamford Bridge, East Riding of Yorkshire, in England, on 25 September 1066, between an English army"
Hyelion and Leimocheir,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Hyelion and Leimocheir saw the almost complete destruction by the Byzantines of a large Seljuq Turk army. The Seljuq army had been raiding Byzantine territory in the Maeander Valley in A
Dunkirk,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Dunkirk  (French: Bataille de Dunkerque) was fought around the French port of Dunkirk (Dunkerque) during the Second World War, between the Allies and Nazi Germany. As the Allies were los"
Gaza war,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Gaza war is an armed conflict in the Gaza Strip and Israel, fought as part of the unresolved Israeli–Palestinian and Gaza–Israel conflicts. The war began on 7 October 2023, when Hamas and other Pa"
Aviation in World War I,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,World War I was the first major conflict involving the use of aircraft. Tethered observation balloons had already been employed in several wars and would be used extensively for artillery spotting. Ge
Khotyn (1621),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Khotyn or Battle of Chocim or Khotyn War (in Turkish: Hotin Muharebesi) was a combined siege and series of battles which took place from 2 September to 9 October 1621 between a Polish–Li
Grauholz,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Grauholz on 5 March 1798 was a battle between a Bernese army under Karl Ludwig von Erlach against the French Revolutionary Army under Balthazar Alexis Henri Schauenburg.  The battle took
Laoshan,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Laoshan (Chinese: 老山战役), known in Vietnam as the Battle of Vị Xuyên (Vietnamese: Mặt trận Vị Xuyên) was fought in 1984 between China and Vietnam as part of Sino-Vietnamese conflicts (197"
Leyte Gulf,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Leyte Gulf (Japanese: レイテ沖海戦, romanized: Reite oki Kaisen, lit. 'Leyte Open Sea Naval Battle') 23–26 October 1944, was the largest naval battle of World War II and by some criteria the l"
Stralsund (1807),Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The siege of Stralsund lasted from 24 July to 24 August, 1807, and saw troops from the First French Empire twice attempt to capture the port city from Lieutenant General Hans Henric von Essen's 15,000"
Tsushima,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Tsushima (Russian: Цусимское сражение, Tsusimskoye srazheniye), also known in Japan as the Battle of the Sea of Japan (Japanese: 日本海海戦, Hepburn: Nihonkai kaisen), was the final naval bat"
Political campaign,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A political campaign is an organized effort which seeks to influence the decision making progress within a specific group. In democracies, political campaigns often refer to electoral campaigns, by wh"
Dara,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Dara was fought between the Eastern Roman Empire and the Sasanians in 530 AD. It was one of the battles of the Iberian War.
Procopius's account of this engagement is among the most detai"
the 300 Champions,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of the 300 Champions, known since  Herodotus' day as the Battle of the Champions, was fought in roughly 546 BC between Argos and Sparta. Rather than commit full armies both sides agreed to "
Párkány,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Párkány (Turkish: Ciğerdelen Savaşı) was fought between October 7–9, 1683 in the town of Párkány (today: Štúrovo), in the Ottoman Empire, and the area surrounding it as part of the Polis"
Himara,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Himara (Greek: Η Μάχη της Χειμάρρας) was a military conflict that took place in the Greco-Italian War in December 1940, during the counteroffensive of the Greek Army that followed the fa"
Boston,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Siege of Boston (April 19, 1775 – March 17, 1776) was the opening phase of the American Revolutionary War. In the siege, American patriot militia led by newly-installed Continental Army commander "
Talikota,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Talikota was a watershed battle fought between the Vijayanagara Empire and an alliance of the Deccan sultanates. The battle resulted in the defeat and death of Rama Raya, the de facto ru"
The Battle at Lake Changjin,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle at Lake Changjin (Chinese: 长津湖) is a 2021 Chinese war drama film produced and directed by Chen Kaige, Tsui Hark and Dante Lam, written by Lan Xiaolong and Huang Jianxin, and starring Wu Jin"
Nà Sản,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Nà Sản was fought between the French Union and the Việt Minh at Nà Sản, Sơn La Province, during the First Indochina War for control of the T’ai region in Northwest Vietnam. The battle en"
Tromsø,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,The Battle of Tromsø or the Battle of Pølsehavna was an unsuccessful British attempt a to enforce a blockade against Norway during the Napoleonic Wars. It took place in Pølsehavna in Tromsø. After the
Harran,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Battle of Harran took place on 7 May 1104 between the Crusader states of the Principality of Antioch and the County of Edessa, and the Seljuk Turks. It was the first major battle against the newfo"
List of battles before 301,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,Historic battle
Battle,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"A battle is an occurrence of combat in warfare between opposing military units of any number or size. A war usually consists of multiple battles. In general, a battle is a series of military engagemen"
United States in the Vietnam War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The involvement of the United States in the Vietnam War began in the 1950s and greatly escalated in 1965 until its withdrawal in 1973. The U.S. military presence in Vietnam peaked in April 1969, with "
Second Sino-Japanese War,Unknown,Various,See summary,Various,Unknown,Unknown,See summary,See summary,See summary,Historic significance,"The Second Sino-Japanese War was fought between the Republic of China and the Empire of Japan between 1937 and 1945, following a period of war localized to Manchuria that started in 1931. It is consid"
